attendance,cgpa,fee_delay,assignments,engagement,risk_score,risk_category,risk_reason
2,3.25,98,35,0.1,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
78,6.2,16,69,6.8,51.53,High,Student shows overall stability
66,7.37,10,60,5.0,55.11,High,Student shows overall stability
89,8.14,9,95,8.7,22.95,Low,Student shows overall stability
61,7.49,21,54,6.7,61.15,High,Low attendance
68,6.06,28,65,6.5,65.98,High,Student shows overall stability
53,4.29,63,10,3.7,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
39,3.34,64,28,1.1,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
81,9.23,8,83,9.1,23.18,Low,Student shows overall stability
100,7.95,7,87,9.5,14.05,Low,Student shows overall stability
60,6.59,31,72,4.8,71.87,High,Low attendance
65,6.29,17,76,5.3,61.3,High,Student shows overall stability
60,6.65,42,54,4.7,80.4,High,Low attendance
63,5.55,26,61,6.8,70.96,High,Low attendance
52,4.86,76,23,1.3,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
62,7.46,30,72,4.8,65.26,High,Low attendance
77,6.61,40,71,6.1,62.42,High,Student shows overall stability
77,6.73,31,72,4.4,60.95,High,Student shows overall stability
61,6.15,49,50,4.4,87.13,High,Low attendance
38,1.61,65,34,1.0,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
66,6.5,29,50,4.2,73.08,High,Student shows overall stability
73,7.28,32,64,5.1,61.3,High,Student shows overall stability
98,8.66,5,96,7.1,15.76,Low,Student shows overall stability
53,2.95,47,43,3.9,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
65,5.6,39,64,6.1,76.63,High,Student shows overall stability
95,9.94,9,98,9.4,7.99,Low,Student shows overall stability
84,7.96,6,88,9.1,25.87,Medium,Student shows overall stability
80,8.61,5,95,7.5,26.15,Medium,Student shows overall stability
0,5.25,103,4,2.4,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
71,6.63,46,71,4.0,73.08,High,Student shows overall stability
84,7.74,3,84,8.4,27.14,Medium,Student shows overall stability
95,9.52,3,80,8.4,13.56,Low,Student shows overall stability
69,7.4,45,51,4.8,72.22,High,Student shows overall stability
98,8.76,0,84,9.1,11.06,Low,Student shows overall stability
75,6.78,37,76,6.4,59.91,High,Student shows overall stability
34,3.54,72,42,3.8,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
60,6.8,38,62,4.6,76.21,High,Low attendance
78,6.74,32,66,6.0,58.81,High,Student shows overall stability
69,5.55,43,68,4.8,77.84,High,Student shows overall stability
100,8.37,7,83,8.3,15.74,Low,Student shows overall stability
35,0.98,112,23,3.2,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
47,0.7,63,22,3.7,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
48,3.74,62,24,1.0,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
76,6.51,34,71,4.9,63.35,High,Student shows overall stability
83,7.53,8,98,7.3,31.19,Medium,Student shows overall stability
93,9.19,3,98,8.5,12.47,Low,Student shows overall stability
84,8.23,8,99,9.0,23.55,Low,Student shows overall stability
22,4.3,78,44,3.7,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
13,3.02,44,34,3.6,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
77,7.44,18,59,6.5,49.7,Medium,Student shows overall stability
37,0.46,52,39,0.3,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
57,0.81,68,36,0.9,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
72,6.24,26,56,7.0,62.48,High,Student shows overall stability
5,3.89,58,43,2.2,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
78,5.72,12,62,4.0,58.58,High,Student shows overall stability
79,5.74,48,50,6.0,73.31,High,Student shows overall stability
96,7.71,0,85,8.3,17.55,Low,Student shows overall stability
44,5.33,100,46,3.6,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
70,7.34,45,52,6.1,69.1,High,Student shows overall stability
94,9.07,0,100,9.1,8.52,Low,Student shows overall stability
70,6.06,41,65,6.7,70.51,High,Student shows overall stability
67,5.84,45,75,5.2,76.51,High,Student shows overall stability
84,9.94,5,96,7.8,15.85,Low,Student shows overall stability
72,6.87,38,62,6.7,64.02,High,Student shows overall stability
17,2.29,108,46,3.7,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
97,8.88,4,80,9.3,13.83,Low,Student shows overall stability
74,5.8,30,75,5.1,65.14,High,Student shows overall stability
26,3.13,72,33,0.1,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
100,7.64,5,96,8.6,14.7,Low,Student shows overall stability
2,3.05,92,36,3.0,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
73,5.91,10,68,4.8,56.82,High,Student shows overall stability
80,9.18,1,87,7.1,23.36,Low,Student shows overall stability
62,6.54,21,50,5.7,68.45,High,Low attendance
76,5.77,32,64,6.4,64.68,High,Student shows overall stability
70,5.93,47,77,6.9,70.99,High,Student shows overall stability
77,6.28,36,68,6.7,61.7,High,Student shows overall stability
65,6.4,24,77,4.9,65.0,High,Student shows overall stability
76,7.4,13,59,6.8,47.46,Medium,Student shows overall stability
79,6.42,43,55,5.5,67.78,High,Student shows overall stability
90,8.95,2,94,7.4,17.71,Low,Student shows overall stability
90,7.85,7,83,7.5,27.36,Medium,Student shows overall stability
62,7.25,36,78,6.9,63.8,High,Low attendance
78,5.58,14,67,4.8,57.75,High,Student shows overall stability
100,8.87,4,88,8.1,12.11,Low,Student shows overall stability
48,2.77,84,26,0.2,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
56,3.78,95,29,0.6,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
76,6.05,10,57,6.2,53.7,High,Student shows overall stability
94,8.84,7,93,8.9,15.63,Low,Student shows overall stability
61,6.99,23,76,4.8,64.3,High,Low attendance
46,4.64,57,37,2.1,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
84,7.96,6,96,7.6,27.16,Medium,Student shows overall stability
91,8.08,3,83,8.1,22.46,Low,Student shows overall stability
77,5.67,31,51,5.7,67.97,High,Student shows overall stability
71,5.76,46,55,6.7,75.65,High,Student shows overall stability
72,6.16,42,70,4.3,72.83,High,Student shows overall stability
95,7.9,7,88,7.2,23.47,Low,Student shows overall stability
67,6.89,33,55,5.2,69.3,High,Student shows overall stability
3,0.03,90,1,2.2,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
78,7.18,14,55,6.9,48.4,Medium,Student shows overall stability
19,2.79,51,46,2.8,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
37,3.2,50,35,1.3,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
65,6.17,19,54,4.2,69.57,High,Student shows overall stability
12,3.77,104,36,0.0,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
94,8.68,6,82,8.0,19.75,Low,Student shows overall stability
59,5.31,117,10,3.8,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
82,9.82,5,87,9.5,16.32,Low,Student shows overall stability
59,0.9,76,4,0.9,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
63,6.13,34,67,6.4,71.46,High,Low attendance
73,7.3,47,50,6.2,68.31,High,Student shows overall stability
76,7.3,11,63,4.2,51.25,High,Student shows overall stability
86,7.79,5,82,8.9,26.46,Medium,Student shows overall stability
79,7.09,38,50,5.6,62.88,High,Student shows overall stability
35,5.49,96,32,2.8,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
32,0.18,105,9,2.0,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
53,4.52,70,46,3.4,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
94,9.49,4,94,8.2,12.24,Low,Student shows overall stability
26,3.53,75,35,2.9,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
79,5.86,19,57,5.8,58.56,High,Student shows overall stability
74,6.08,21,75,5.8,58.15,High,Student shows overall stability
60,5.54,21,61,5.7,72.48,High,Low attendance
55,0.13,70,8,1.7,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
39,4.62,50,22,0.5,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
93,7.97,6,80,9.6,20.89,Low,Student shows overall stability
67,6.72,18,70,5.0,60.26,High,Student shows overall stability
52,3.32,74,24,3.5,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
6,1.91,73,26,1.8,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
91,9.78,5,86,7.5,15.89,Low,Student shows overall stability
80,8.41,5,97,9.0,23.83,Low,Student shows overall stability
99,8.65,3,87,8.5,13.23,Low,Student shows overall stability
72,6.29,28,79,4.6,63.25,High,Student shows overall stability
92,8.44,7,98,7.2,21.05,Low,Student shows overall stability
46,2.9,77,3,0.7,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
38,4.14,49,9,3.6,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
60,5.55,37,67,6.6,77.58,High,Low attendance
62,5.96,17,71,5.0,66.29,High,Low attendance
78,6.81,17,51,6.4,53.51,High,Student shows overall stability
31,4.71,55,3,3.8,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
93,8.23,1,86,8.9,17.04,Low,Student shows overall stability
20,0.15,58,35,2.6,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
0,4.5,59,10,1.0,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
71,7.16,46,55,6.3,68.81,High,Student shows overall stability
71,5.94,31,61,4.4,71.14,High,Student shows overall stability
55,5.42,53,8,2.2,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
66,5.94,31,60,5.3,72.89,High,Student shows overall stability
92,9.23,4,90,9.5,12.99,Low,Student shows overall stability
69,6.65,47,51,5.7,75.49,High,Student shows overall stability
71,5.91,31,70,4.8,68.73,High,Student shows overall stability
87,8.13,8,100,7.5,25.04,Medium,Student shows overall stability
25,2.22,101,45,0.2,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
90,7.96,4,83,9.3,21.69,Low,Student shows overall stability
90,8.22,3,96,9.2,17.63,Low,Student shows overall stability
61,6.29,33,71,4.4,74.67,High,Low attendance
63,6.58,28,52,6.5,69.03,High,Low attendance
58,3.28,112,25,1.9,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
67,6.96,34,78,6.1,63.08,High,Student shows overall stability
66,5.65,46,61,6.1,79.59,High,Student shows overall stability
81,7.76,4,91,9.4,26.02,Medium,Student shows overall stability
16,5.23,94,48,0.7,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
78,6.96,30,66,6.0,56.72,High,Student shows overall stability
5,5.39,51,14,2.8,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
94,7.61,6,96,7.5,22.75,Low,Student shows overall stability
66,5.57,16,58,4.6,68.71,High,Student shows overall stability
97,9.36,3,86,8.4,11.96,Low,Student shows overall stability
66,5.57,40,73,4.7,77.61,High,Student shows overall stability
81,9.71,7,91,8.7,19.14,Low,Student shows overall stability
3,4.35,64,12,2.5,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
41,4.82,105,34,3.5,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
92,8.82,2,86,7.0,19.47,Low,Student shows overall stability
96,8.5,4,91,8.9,14.83,Low,Student shows overall stability
46,2.19,69,24,1.3,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
60,5.98,12,62,5.1,66.17,High,Low attendance
83,9.29,4,95,7.1,21.54,Low,Student shows overall stability
8,0.6,107,11,3.8,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
36,0.49,109,38,3.5,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
10,4.97,64,6,4.0,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
99,9.59,5,100,9.5,5.36,Low,Student shows overall stability
90,7.94,9,88,7.6,26.89,Medium,Student shows overall stability
5,4.4,93,46,0.9,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
79,7.49,44,67,5.5,60.12,High,Student shows overall stability
2,4.49,52,46,0.1,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
36,0.5,95,2,1.1,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
62,7.41,21,59,6.4,60.54,High,Low attendance
64,6.97,43,73,4.8,72.61,High,Low attendance
84,7.62,1,85,9.9,22.86,Low,Student shows overall stability
84,9.98,1,87,9.6,11.99,Low,Student shows overall stability
78,7.15,49,51,5.6,67.63,High,Student shows overall stability
32,4.83,58,15,2.6,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
58,0.88,52,42,1.0,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
35,3.4,77,6,3.5,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
56,0.16,62,41,0.5,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
66,5.82,45,51,6.5,79.41,High,Student shows overall stability
66,5.89,22,63,5.0,68.6,High,Student shows overall stability
67,6.02,33,62,6.3,70.23,High,Student shows overall stability
86,8.85,1,94,9.8,14.8,Low,Student shows overall stability
83,7.93,3,97,9.8,21.37,Low,Student shows overall stability
91,7.67,9,80,7.2,29.87,Medium,Student shows overall stability
97,9.68,3,82,8.8,10.46,Low,Student shows overall stability
70,7.14,24,68,4.8,60.14,High,Student shows overall stability
81,8.18,3,96,7.3,26.62,Medium,Student shows overall stability
14,4.37,68,10,0.9,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
93,8.08,2,96,9.9,14.44,Low,Student shows overall stability
100,9.77,4,99,8.2,6.05,Low,Student shows overall stability
82,8.28,9,85,7.7,30.47,Medium,Student shows overall stability
96,9.13,1,94,8.4,10.87,Low,Student shows overall stability
73,5.91,38,70,4.5,71.35,High,Student shows overall stability
77,7.02,12,78,4.4,49.14,Medium,Student shows overall stability
82,7.96,8,93,8.8,27.67,Medium,Student shows overall stability
79,6.36,47,65,5.5,67.8,High,Student shows overall stability
100,8.17,7,87,7.9,16.38,Low,Student shows overall stability
67,6.43,39,67,5.4,71.67,High,Student shows overall stability
70,6.89,42,77,6.3,64.78,High,Student shows overall stability
98,7.76,0,91,10.0,11.83,Low,Student shows overall stability
95,8.71,3,80,8.7,16.68,Low,Student shows overall stability
80,8.79,0,88,8.1,21.12,Low,Student shows overall stability
99,8.39,6,81,9.9,13.89,Low,Student shows overall stability
97,9.55,9,91,7.3,14.59,Low,Student shows overall stability
62,7.29,18,55,5.8,61.59,High,Low attendance
68,6.92,17,57,6.1,58.44,High,Student shows overall stability
46,4.48,46,10,3.6,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
62,5.58,23,60,6.2,71.34,High,Low attendance
71,5.82,28,72,5.4,66.12,High,Student shows overall stability
28,4.34,94,31,2.0,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
77,6.81,46,73,6.9,61.92,High,Student shows overall stability
69,6.31,38,71,4.1,72.46,High,Student shows overall stability
91,7.94,4,99,8.9,18.86,Low,Student shows overall stability
19,2.78,89,48,2.1,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
61,6.47,11,64,6.7,58.87,High,Low attendance
69,7.48,21,52,5.9,58.48,High,Student shows overall stability
74,5.97,35,57,5.2,70.07,High,Student shows overall stability
69,5.98,23,51,4.5,70.06,High,Student shows overall stability
44,2.4,99,46,2.4,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
79,6.69,15,66,5.2,51.94,High,Student shows overall stability
1,4.72,44,0,3.1,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
92,8.09,9,82,8.3,24.57,Low,Student shows overall stability
69,6.84,10,54,4.7,57.75,High,Student shows overall stability
60,6.01,29,77,4.1,74.24,High,Low attendance
36,2.93,88,48,2.8,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
74,7.24,29,67,7.0,55.27,High,Student shows overall stability
84,9.84,0,82,8.4,15.52,Low,Student shows overall stability
4,0.57,90,13,2.8,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
77,7.43,43,74,5.9,59.08,High,Student shows overall stability
30,1.4,82,49,1.4,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
72,5.79,17,67,4.6,62.72,High,Student shows overall stability
28,2.44,44,46,0.7,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
54,5.38,82,9,0.1,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
87,9.66,0,91,7.3,14.98,Low,Student shows overall stability
3,3.72,58,30,2.6,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
64,6.65,37,51,7.0,71.54,High,Low attendance
88,9.67,8,95,9.3,14.16,Low,Student shows overall stability
88,7.77,1,85,8.0,23.83,Low,Student shows overall stability
65,7.3,22,58,5.0,62.98,High,Student shows overall stability
0,0.66,93,6,0.0,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
91,9.02,4,98,8.2,15.54,Low,Student shows overall stability
76,6.59,44,61,4.0,71.05,High,Student shows overall stability
67,6.84,19,51,5.4,63.2,High,Student shows overall stability
67,6.54,15,77,4.1,60.0,High,Student shows overall stability
71,5.8,46,64,5.6,75.82,High,Student shows overall stability
75,6.6,30,72,5.3,60.74,High,Student shows overall stability
52,4.94,64,35,3.7,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
100,8.7,2,81,7.5,14.68,Low,Student shows overall stability
79,6.84,38,64,5.6,61.38,High,Student shows overall stability
69,6.72,27,51,4.8,67.68,High,Student shows overall stability
70,5.75,19,56,5.6,65.42,High,Student shows overall stability
55,4.36,100,41,3.7,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
66,7.13,22,72,5.9,58.55,High,Student shows overall stability
68,7.09,24,59,4.5,63.93,High,Student shows overall stability
69,7.3,25,66,4.7,60.9,High,Student shows overall stability
49,4.03,99,38,2.7,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
83,7.87,6,97,7.5,28.27,Medium,Student shows overall stability
91,9.66,6,100,7.3,14.64,Low,Student shows overall stability
94,8.08,6,90,7.7,21.58,Low,Student shows overall stability
61,6.05,16,70,6.0,64.07,High,Low attendance
66,6.95,20,56,5.0,63.48,High,Student shows overall stability
3,3.98,81,31,1.1,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
87,9.11,3,82,8.2,19.96,Low,Student shows overall stability
65,6.21,13,62,5.6,61.7,High,Student shows overall stability
84,7.67,4,87,9.6,25.04,Medium,Student shows overall stability
71,6.15,12,71,6.0,55.12,High,Student shows overall stability
1,2.0,74,33,1.8,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
71,5.68,14,62,5.9,60.53,High,Student shows overall stability
54,2.95,101,29,1.8,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
16,1.65,47,19,1.9,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
78,5.8,14,69,6.8,52.41,High,Student shows overall stability
79,6.75,27,57,6.3,57.03,High,Student shows overall stability
95,8.77,3,81,7.2,19.19,Low,Student shows overall stability
97,8.35,8,100,8.0,16.49,Low,Student shows overall stability
80,8.26,3,83,9.6,24.78,Low,Student shows overall stability
90,8.94,4,99,7.6,17.41,Low,Student shows overall stability
41,2.97,84,34,2.7,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
73,7.11,25,56,4.9,60.99,High,Student shows overall stability
100,7.56,1,82,8.0,17.63,Low,Student shows overall stability
9,4.52,64,32,3.7,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
73,7.3,12,52,5.2,53.79,High,Student shows overall stability
100,7.8,4,81,8.5,16.88,Low,Student shows overall stability
92,8.87,3,97,7.8,16.0,Low,Student shows overall stability
31,1.19,41,22,0.6,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
98,7.98,8,81,8.5,20.32,Low,Student shows overall stability
30,3.82,112,22,1.0,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
88,9.46,2,86,9.1,14.65,Low,Student shows overall stability
83,9.08,7,96,7.7,22.63,Low,Student shows overall stability
99,9.14,5,86,9.2,10.81,Low,Student shows overall stability
34,2.02,53,6,2.9,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
54,2.29,60,37,1.0,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
57,1.04,44,0,1.3,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
44,5.37,84,31,2.0,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
90,8.64,3,100,8.5,16.37,Low,Student shows overall stability
99,8.11,1,87,9.4,12.67,Low,Student shows overall stability
65,6.28,22,66,6.9,62.83,High,Student shows overall stability
8,5.19,41,47,1.0,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
57,1.39,60,27,2.5,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
67,5.95,26,77,5.4,66.13,High,Student shows overall stability
4,4.06,104,22,2.7,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
90,9.15,2,82,7.0,19.9,Low,Student shows overall stability
20,2.13,70,45,4.0,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
18,3.64,67,42,1.6,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
67,6.03,47,64,4.2,80.43,High,Student shows overall stability
30,4.3,64,8,1.5,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
96,8.14,3,93,7.2,18.88,Low,Student shows overall stability
54,0.23,49,20,0.5,100.0,High,"Low attendance, Low academic performance, Poor assignment completion, Low engagement / motivation"
61,6.7,41,65,6.4,73.34,High,Low attendance
70,5.59,26,57,5.8,69.17,High,Student shows overall stability
87,8.58,9,97,9.8,19.35,Low,Student shows overall stability
100,9.19,2,93,7.0,11.23,Low,Student shows overall stability
57,4.49,78,48,1.0,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
72,5.94,17,63,6.2,59.53,High,Student shows overall stability
43,0.3,61,42,1.1,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
72,5.83,38,70,6.2,68.99,High,Student shows overall stability
30,2.69,62,23,1.4,100.0,High,"Low attendance, Low academic performance, Financial stress due to fee delay, Poor assignment completion, Low engagement / motivation"
64,6.68,12,71,5.7,57.33,High,Low attendance
