attendance,cgpa,fee_delay,assignments,engagement,risk_score
87,8.49,7,77,6.5,15.87
67,6.21,37,64,6.9,47.41
96,8.2,4,89,7.8,11.38
12,9.05,5,77,6.1,68.64
61,5.67,39,77,5.7,64.32
55,6.38,64,77,8.9,72.79
20,8.25,88,81,8.1,100.0
60,6.44,44,60,4.0,64.01
27,8.56,94,64,9.0,91.93
64,6.95,19,69,5.1,45.38
8,5.15,50,72,7.0,100.0
48,8.28,33,87,5.3,52.25
57,7.1,117,62,6.6,79.16
91,8.9,13,86,6.4,13.93
14,8.42,13,61,8.0,77.12
81,8.38,1,87,7.2,14.86
61,6.2,47,60,6.4,65.82
54,7.12,80,64,8.0,76.53
76,6.48,29,83,4.1,36.38
61,6.16,20,78,5.6,52.31
75,5.8,25,67,4.5,40.99
62,7.25,36,77,5.8,51.29
20,5.34,91,69,4.9,100.0
0,7.17,11,85,8.5,100.0
25,7.95,72,85,8.0,92.22
74,6.52,26,63,6.4,38.46
99,8.02,14,83,7.9,15.35
23,8.1,25,73,4.7,76.17
2,8.98,109,70,6.7,100.0
57,6.27,114,74,4.5,84.83
89,8.91,0,76,6.3,11.64
76,6.19,34,63,5.1,41.8
77,5.67,31,61,5.7,43.01
71,5.76,46,65,6.7,49.98
72,6.16,42,80,4.3,44.77
54,6.94,93,70,4.4,82.75
88,7.7,2,77,8.1,16.09
85,8.49,11,80,8.6,15.69
96,8.73,5,88,8.5,9.28
90,8.93,2,82,8.3,9.58
53,8.05,83,60,7.7,71.31
60,6.72,47,64,5.5,62.75
92,8.83,0,75,7.0,10.78
22,7.24,1,72,7.4,69.94
36,4.51,8,70,6.4,82.73
62,6.2,14,71,5.2,49.14
90,9.85,11,72,6.2,11.48
87,9.57,4,83,8.4,8.04
84,9.54,10,83,7.6,11.53
44,7.44,17,67,6.3,57.65
98,9.06,0,84,7.7,7.27
46,6.42,77,80,8.5,86.61
78,6.36,12,66,6.2,32.47
79,7.09,38,60,5.6,37.46
83,9.99,8,70,8.1,10.25
80,7.58,5,71,8.3,21.25
80,7.76,12,84,8.5,20.85
55,7.01,7,64,6.4,46.26
72,6.94,40,78,6.1,40.33
70,6.7,29,70,6.9,39.68
5,6.5,46,85,8.7,100.0
12,5.2,81,84,5.3,100.0
90,9.83,3,85,8.1,5.98
87,9.13,0,78,7.3,10.2
87,9.6,10,70,6.3,12.98
93,7.97,6,70,8.6,15.2
67,6.72,18,80,5.0,37.58
100,9.01,2,89,7.6,7.42
81,8.66,10,71,8.8,16.99
71,7.33,33,84,5.5,36.1
60,6.22,31,77,6.0,57.86
19,6.79,19,81,8.3,87.33
67,6.5,10,72,5.2,37.18
78,6.2,39,76,4.1,40.61
67,6.67,10,73,6.1,36.03
76,6.3,47,78,4.5,43.47
28,4.88,2,69,5.4,84.59
60,5.55,37,77,6.6,64.66
62,5.96,17,81,5.0,50.93
78,6.81,17,61,6.4,32.32
93,9.58,3,89,8.0,6.07
30,6.12,81,66,7.2,100.0
100,7.57,12,88,7.7,15.74
61,7.32,14,79,5.0,41.7
82,8.98,11,89,7.9,14.05
68,6.37,44,79,6.9,46.23
96,9.67,7,83,7.4,7.74
49,4.61,13,68,6.7,70.97
66,5.94,31,70,5.3,47.72
28,5.36,86,64,4.1,100.0
100,9.54,8,75,6.2,10.19
65,7.16,32,80,4.0,40.82
56,5.83,90,67,5.3,90.08
66,6.65,26,80,5.1,41.1
61,5.83,10,78,4.3,49.32
100,9.59,10,73,8.2,9.29
34,9.25,54,74,8.8,62.81
55,5.57,35,74,5.3,69.12
70,7.19,43,68,6.3,42.15
8,6.26,0,84,7.5,91.04
66,5.65,46,71,6.1,53.74
33,5.02,100,71,8.0,100.0
96,9.88,6,86,6.6,6.97
78,6.96,30,76,6.0,34.14
65,7.46,27,84,5.9,37.13
68,7.39,41,69,5.8,41.82
100,8.68,6,83,6.4,11.56
98,9.81,1,87,8.2,4.04
34,6.1,105,66,4.2,100.0
62,6.62,43,62,6.1,60.29
54,6.52,38,74,8.0,62.86
72,6.75,25,72,5.8,37.42
54,6.81,33,89,4.0,58.36
17,9.2,98,86,9.0,92.06
48,6.51,116,71,7.1,91.2
94,8.5,13,76,7.6,15.18
96,7.78,13,87,6.9,16.77
24,5.89,52,73,4.2,100.0
56,7.9,11,86,8.7,37.09
90,8.97,6,83,7.8,10.94
81,7.92,3,73,6.7,19.67
100,9.58,13,79,6.1,11.18
40,5.43,2,83,5.8,65.43
46,5.58,8,62,7.0,64.6
69,6.53,27,76,4.5,40.55
85,9.06,12,84,6.1,15.03
84,7.73,8,72,6.8,20.9
62,7.41,21,69,6.4,44.41
64,6.97,43,83,4.8,53.81
58,8.12,89,77,4.4,68.19
12,8.97,76,76,4.3,99.1
98,9.56,7,77,8.0,8.19
72,6.97,33,78,6.6,37.6
58,8.84,40,72,8.2,42.82
69,5.71,36,65,4.6,48.99
92,9.68,2,79,6.4,8.0
29,9.04,81,63,6.8,82.78
91,7.52,12,83,7.0,19.18
67,6.02,33,72,6.3,46.68
29,4.59,104,61,5.7,100.0
64,5.71,13,79,6.1,49.08
26,5.33,11,81,7.5,87.75
77,7.24,38,71,6.2,36.19
11,4.62,10,60,5.6,100.0
78,6.01,32,61,4.8,41.16
96,7.76,8,76,7.6,16.06
90,8.05,1,84,8.0,12.88
62,7.4,37,80,6.7,49.68
99,8.49,8,74,9.0,11.97
65,5.96,44,76,6.0,51.62
14,6.86,26,67,4.8,100.0
28,8.38,78,86,8.2,86.34
82,9.49,11,72,6.6,14.78
73,6.7,29,63,5.7,39.43
59,4.82,117,80,5.3,93.16
90,9.96,0,77,7.4,6.02
77,6.46,40,65,4.9,41.53
60,7.41,17,70,5.4,44.37
16,5.01,45,74,6.5,100.0
79,6.19,49,77,5.0,43.09
60,7.27,39,60,6.5,55.65
38,5.16,102,85,7.4,100.0
81,7.6,11,86,8.9,20.33
58,4.66,5,68,4.3,57.39
77,7.37,17,77,5.9,28.52
94,9.54,6,80,8.7,7.54
62,5.58,23,70,6.2,57.46
71,5.82,28,82,5.4,42.56
100,9.15,2,81,7.7,7.84
84,9.99,8,72,6.2,11.26
74,6.02,21,76,6.6,37.73
99,9.07,11,81,8.3,10.47
77,7.23,41,68,5.3,37.73
83,9.68,1,73,7.3,9.8
50,5.92,11,62,7.1,60.06
74,5.97,35,67,5.2,43.87
69,5.98,23,61,4.5,44.04
92,8.59,5,84,7.8,11.6
79,6.69,15,76,5.2,30.29
81,9.64,4,70,8.3,11.05
44,5.69,30,70,8.4,75.54
75,6.54,19,71,6.5,34.61
79,6.68,21,60,4.8,34.13
27,4.68,36,74,7.3,100.0
76,6.91,37,74,6.6,37.38
19,5.85,1,68,6.7,85.93
80,7.81,5,74,8.8,19.44
48,7.42,11,69,6.0,51.18
70,5.53,34,77,6.9,46.44
74,6.54,32,71,5.6,39.6
44,5.22,49,69,7.7,88.8
20,4.97,7,88,6.2,95.68
94,9.23,6,80,8.0,9.25
76,7.16,49,76,4.1,40.12
93,9.8,0,88,8.8,3.72
95,9.13,9,71,9.0,10.75
8,8.83,88,75,7.8,100.0
30,8.19,67,61,6.0,86.78
37,6.69,97,77,8.4,99.52
44,8.59,87,89,6.7,72.84
14,7.65,70,74,7.5,100.0
24,7.48,95,76,6.2,100.0
10,7.52,109,73,7.1,100.0
62,6.58,17,75,6.5,47.21
91,7.87,4,84,7.6,14.62
75,6.6,30,82,5.3,36.81
100,9.75,8,73,8.8,7.62
20,6.9,18,61,4.8,88.92
79,6.84,38,74,5.6,36.96
69,6.72,27,61,4.8,41.35
70,5.75,19,66,5.6,42.72
96,8.92,9,73,7.3,12.54
53,7.25,119,72,7.2,79.88
100,9.71,8,78,7.9,7.82
56,8.7,71,83,5.8,57.35
36,6.01,23,78,8.3,77.2
77,7.03,19,60,5.3,32.82
48,8.18,97,60,5.1,78.42
47,6.06,34,87,5.0,71.31
68,6.28,34,61,4.8,46.5
77,6.31,48,68,6.1,44.33
93,7.76,9,75,7.7,17.06
45,5.82,100,60,7.0,100.0
60,5.95,48,63,5.3,68.76
84,7.67,4,77,8.6,17.84
71,6.15,12,81,6.0,36.0
81,8.41,2,71,7.3,16.82
21,7.31,35,64,4.9,91.77
75,6.32,39,84,6.5,40.38
15,7.82,83,62,8.6,100.0
27,9.37,117,64,7.7,82.95
80,9.61,4,89,7.9,9.65
38,8.82,116,75,6.5,78.74
13,5.09,22,77,5.7,100.0
1,9.18,72,60,5.5,100.0
22,9.21,81,82,4.8,86.11
94,9.98,4,89,6.6,5.75
89,8.85,12,72,8.0,14.71
73,7.11,25,66,4.9,35.73
20,4.61,90,61,5.1,100.0
97,9.1,8,71,6.4,12.34
83,9.02,0,83,8.7,10.17
99,8.76,8,75,6.4,12.9
7,6.89,67,84,5.2,100.0
11,9.33,95,87,5.6,99.09
77,6.06,15,70,5.9,35.11
78,6.27,14,78,4.6,32.23
10,8.27,30,83,5.5,90.34
68,5.78,18,73,4.3,42.73
60,6.52,48,67,6.4,63.9
79,5.85,45,65,5.3,44.91
51,6.52,98,66,6.6,89.07
66,6.97,31,64,4.0,42.83
65,6.02,19,82,4.4,42.8
60,6.15,35,77,5.9,60.16
36,9.3,35,76,4.5,55.34
79,6.03,35,63,6.6,40.69
17,6.88,104,88,6.0,100.0
69,7.28,26,83,4.9,35.43
75,6.01,19,77,4.1,36.9
100,9.56,6,71,7.2,9.19
76,6.73,32,83,6.6,35.6
43,7.06,100,67,4.2,92.79
42,7.8,50,83,4.5,69.24
19,8.19,57,73,9.0,91.03
98,9.15,11,88,6.5,10.84
29,8.65,7,69,4.1,56.77
27,8.99,7,67,7.1,55.06
49,4.55,35,89,5.3,80.9
24,7.15,61,77,5.6,99.72
26,9.4,117,72,6.9,83.2
81,7.82,14,86,8.8,20.31
24,6.38,77,87,5.9,100.0
51,5.7,84,71,5.0,93.33
100,8.21,13,76,8.5,14.52
97,9.09,13,77,8.2,11.75
71,5.61,31,81,7.0,43.95
92,7.91,12,84,6.3,17.73
94,8.76,7,81,8.2,11.15
60,6.52,28,82,6.1,53.88
94,9.69,4,84,6.5,7.59
67,5.99,14,62,7.0,41.6
31,8.9,97,70,5.6,85.61
93,9.04,10,71,7.1,13.29
99,8.81,9,81,8.2,10.85
33,8.29,19,70,7.8,60.32
85,9.69,4,73,7.2,10.22
69,7.27,44,64,6.0,43.37
38,4.52,37,73,5.8,96.58
99,8.51,6,73,7.5,12.56
84,8.95,6,89,7.7,12.09
61,6.7,28,78,5.5,52.34
21,7.98,75,89,8.9,96.45
35,7.09,47,72,4.7,82.69
54,5.68,62,79,4.3,80.43
94,10.0,11,82,6.5,8.79
79,7.07,36,74,5.2,35.24
90,9.35,9,85,6.6,11.02
69,6.17,22,70,4.1,41.62
92,9.24,10,82,8.3,10.32
34,6.65,114,64,8.2,100.0
48,6.68,63,64,7.5,79.44
66,7.31,44,60,6.3,45.23
40,5.29,59,71,4.7,98.23
83,7.53,7,81,6.1,21.33
6,5.73,91,73,5.2,100.0
53,6.64,88,72,5.3,85.11
35,4.67,83,77,8.5,100.0
3,6.08,90,66,4.4,100.0
31,7.82,19,83,6.8,65.72
89,9.57,7,83,8.2,8.67
97,7.86,6,74,7.7,14.99
71,6.2,42,77,6.2,45.43
66,6.87,42,76,6.9,44.6
27,8.11,40,66,7.5,77.94
65,5.95,43,60,5.3,53.27
21,8.75,65,69,6.3,88.21
66,6.59,33,74,5.5,44.3
89,9.95,2,86,6.6,6.45
19,7.22,67,73,7.8,100.0
39,8.89,85,79,8.4,73.34
40,7.3,27,85,6.8,64.68
62,7.32,42,69,5.5,54.21
51,6.76,49,70,7.9,69.1
91,8.81,7,78,7.7,12.34
68,6.29,49,77,4.5,49.19
71,5.83,25,62,5.1,43.96
90,9.96,0,70,6.1,7.9
31,7.77,106,64,6.2,98.62
78,7.26,21,70,5.5,30.62
92,9.96,4,82,7.0,6.67
84,8.9,0,73,8.2,11.99
84,9.93,11,78,8.5,9.96
78,7.02,20,61,6.5,32.2
61,7.14,21,75,6.1,46.51
80,8.1,3,71,7.0,19.2
70,6.8,31,76,6.5,39.33
74,6.01,42,79,6.2,44.25
34,7.93,27,74,4.9,67.12
80,9.59,6,72,8.1,12.2
65,6.22,30,62,6.3,47.28
79,7.38,21,76,6.3,28.65
92,9.75,2,70,8.6,7.02
58,5.05,119,73,6.3,93.05
87,7.82,2,83,7.4,15.71
39,8.2,25,65,5.4,60.17
98,9.93,2,79,8.1,4.97
92,9.91,14,78,6.9,10.52
98,9.68,13,75,6.4,11.19
16,5.71,63,60,6.3,100.0
10,4.87,104,86,7.7,100.0
63,7.25,11,68,5.0,40.53
55,5.43,54,75,5.2,78.43
91,8.96,13,87,7.7,12.53
75,7.16,12,71,4.3,29.74
8,7.85,80,61,8.4,100.0
72,6.89,49,71,6.7,43.72
74,6.7,35,79,5.3,38.77
78,6.39,38,78,4.7,39.14
63,6.27,12,81,4.8,45.67
26,8.22,0,67,7.2,56.98
24,4.51,60,71,7.0,100.0
98,8.19,0,82,7.4,10.96
34,6.74,83,83,7.0,100.0
76,5.52,17,70,6.5,38.52
38,8.51,48,89,6.0,64.84
40,6.49,36,76,7.1,76.43
50,8.9,54,68,4.1,55.7
73,7.49,22,73,4.5,32.06
18,6.56,71,88,7.6,100.0
75,6.09,35,66,6.9,42.09
93,7.63,12,84,6.2,18.68
77,6.01,13,60,5.4,35.89
18,7.48,39,79,8.5,91.61
78,6.21,48,61,6.0,45.15
61,7.28,22,69,5.5,46.86
8,7.56,27,62,7.6,100.0
1,7.15,2,75,9.0,95.66
88,8.56,2,80,7.5,12.6
64,5.75,40,84,6.2,60.57
70,6.36,44,72,4.8,46.58
57,7.45,107,61,5.9,76.9
71,7.33,32,67,6.7,37.25
58,7.51,99,87,7.4,71.33
55,5.33,6,63,4.2,57.14
94,7.89,12,79,7.9,16.6
70,6.27,36,70,4.9,44.79
64,6.56,21,65,5.4,49.29
72,7.44,39,83,6.9,36.17
72,6.27,36,73,4.1,43.19
41,6.48,5,86,4.7,58.97
69,7.3,46,69,5.1,43.24
65,6.71,18,76,4.3,39.44
79,5.56,41,75,6.3,43.57
88,8.88,1,82,8.3,9.99
98,8.39,1,82,6.6,11.23
45,7.89,20,71,8.2,52.67
60,6.66,33,62,4.5,57.53
83,8.5,0,72,8.6,13.84
78,5.9,30,67,4.1,40.3
63,7.31,36,80,5.8,49.7
46,8.85,20,81,8.0,42.97
16,7.9,40,73,4.2,92.77
98,8.66,11,81,8.3,12.13
63,6.07,42,83,5.3,60.36
78,6.65,23,77,5.3,33.33
74,6.65,44,75,7.0,41.54
44,6.7,112,60,8.5,93.94
37,5.78,68,72,8.9,98.97
54,4.6,95,81,7.4,98.98
89,7.84,13,85,8.5,17.36
34,5.55,56,89,4.0,99.47
87,9.99,7,76,6.0,9.94
35,8.67,0,74,4.7,45.24
84,9.55,8,70,8.5,11.61
67,6.3,43,73,4.8,48.44
65,6.11,17,62,5.9,44.06
61,5.51,28,65,4.9,61.87
54,8.71,15,65,4.3,39.31
12,7.83,30,87,8.3,90.25
73,5.8,36,81,5.0,43.96
60,6.6,39,80,4.1,58.37
18,7.74,85,76,7.6,100.0
89,8.96,7,89,7.9,10.72
77,6.93,33,74,5.7,36.0
72,7.33,17,77,5.2,31.35
33,5.17,97,70,5.4,100.0
76,6.52,35,77,4.8,38.78
97,8.67,5,74,8.8,10.75
27,5.01,64,70,5.4,100.0
91,8.93,1,84,8.8,8.38
65,6.25,21,78,4.3,42.61
60,7.36,34,83,6.0,50.49
20,8.07,12,64,8.8,72.31
96,9.19,8,78,6.3,11.36
91,10.0,0,74,7.5,5.97
40,6.88,111,77,7.2,95.46
88,7.63,8,82,7.2,18.32
81,8.03,8,75,7.4,19.89
80,9.49,6,82,6.1,13.06
7,7.76,17,62,5.6,95.68
67,6.44,10,63,4.3,38.63
12,4.79,117,81,6.6,100.0
52,7.94,12,64,8.6,43.17
96,7.81,9,72,7.5,16.73
76,7.31,33,70,6.6,34.62
25,7.89,83,82,7.9,97.74
87,7.83,11,79,8.3,18.26
81,7.95,6,70,8.2,19.58
56,6.36,15,75,5.5,53.11
66,7.26,18,70,6.5,36.09
67,5.91,13,67,4.2,41.89
33,7.52,76,74,4.3,92.51
63,7.42,18,82,6.4,40.81
97,9.11,11,78,6.6,12.23
86,7.85,9,79,6.9,18.98
12,8.56,103,63,5.9,100.0
70,7.12,47,83,6.2,42.09
68,6.88,35,76,6.8,41.19
68,6.4,42,77,4.9,46.46
100,9.91,5,75,8.8,5.87
93,8.87,12,72,6.5,14.94
71,7.3,42,76,6.9,39.26
90,8.48,11,75,6.3,16.67
75,6.31,35,84,4.7,39.54
77,6.69,47,81,4.0,40.69
43,8.46,58,88,8.7,62.6
100,9.88,1,77,6.5,6.31
63,5.99,10,70,6.0,47.64
23,8.32,92,81,7.0,98.66
83,8.39,11,79,8.4,17.11
41,6.11,65,82,7.6,90.09
36,5.73,92,62,8.5,100.0
35,5.94,119,82,8.6,100.0
86,8.43,3,89,8.3,12.34
96,8.61,9,83,7.9,12.04
99,8.93,1,73,8.5,8.63
92,9.94,6,79,8.5,6.51
84,7.59,0,71,8.0,18.17
3,7.41,10,83,6.9,97.14
78,6.06,16,74,6.7,33.76
84,8.55,3,79,8.7,13.36
72,6.68,28,75,6.6,37.89
56,6.32,14,62,6.5,53.98
67,5.6,45,61,6.3,54.03
3,5.26,56,76,6.7,100.0
22,9.16,94,89,6.7,88.7
65,5.61,19,67,4.7,46.85
19,5.65,50,81,7.6,100.0
85,9.33,3,84,7.2,10.12
97,9.74,4,85,8.5,5.38
47,9.01,117,63,8.9,68.36
100,8.86,7,86,7.1,10.26
69,6.92,43,68,4.8,44.44
76,6.7,34,80,5.7,37.22
98,8.42,8,71,8.1,13.4
85,9.8,6,76,8.6,8.88
33,8.54,92,68,5.7,88.01
51,5.29,80,76,7.6,93.13
60,6.12,35,74,5.5,60.67
3,6.42,82,70,8.2,100.0
57,7.58,33,88,4.5,50.28
78,6.91,42,76,5.6,38.12
64,6.94,15,67,4.5,43.86
82,9.88,10,80,8.6,10.1
3,7.63,1,83,8.1,87.28
67,6.0,12,77,6.5,39.52
97,8.12,7,70,7.6,14.85
10,5.46,11,76,8.7,100.0
73,6.71,42,77,5.3,41.72
64,5.64,39,74,5.1,62.16
99,9.18,14,83,8.3,10.74
99,8.19,1,79,8.7,10.45
28,9.39,65,65,6.7,73.5
88,9.34,9,89,7.3,10.5
11,4.87,2,69,6.6,100.0
81,8.22,9,75,8.9,18.14
66,5.84,47,79,4.9,52.11
43,6.79,98,74,6.8,93.81
62,6.25,36,69,5.4,59.15
65,6.13,45,61,6.6,52.34
89,9.03,10,88,8.6,10.9
21,7.63,29,84,4.3,83.54
72,6.67,18,63,6.8,36.1
8,8.7,105,65,8.9,100.0
49,8.21,49,62,8.5,59.45
24,6.67,14,63,6.2,83.71
98,8.97,0,80,7.9,7.93
19,5.52,38,76,8.1,100.0
51,4.57,62,60,5.1,94.35
47,9.06,74,88,6.1,61.38
32,7.86,81,89,8.8,88.03
85,8.46,3,82,8.4,13.31
37,8.21,119,86,6.6,84.83
41,6.64,5,70,6.7,59.16
27,9.08,36,68,4.2,67.44
81,9.08,10,75,7.3,15.78
70,7.37,37,77,6.5,38.14
10,7.49,76,63,7.0,100.0
70,6.48,13,74,4.8,36.06
85,9.14,0,75,6.5,11.72
4,8.43,91,80,7.7,100.0
94,9.21,2,73,6.9,9.86
59,6.72,105,82,5.3,78.52
99,9.68,12,83,8.7,7.96
83,9.08,0,79,6.8,11.86
48,5.01,8,65,6.8,66.42
68,7.22,32,76,5.0,39.09
68,5.82,46,82,4.5,50.17
74,6.48,26,82,4.0,36.73
85,9.47,13,70,7.0,14.44
69,7.26,19,74,4.3,34.44
8,5.56,10,73,4.8,100.0
18,6.18,27,83,7.1,99.27
74,7.01,42,78,6.0,39.51
69,5.84,43,78,5.6,48.91
75,7.39,38,66,4.4,37.3
66,5.73,35,76,6.0,49.34
86,8.55,0,86,8.6,11.01
62,6.62,41,75,4.0,57.97
80,8.66,5,85,6.6,15.86
53,8.46,77,88,4.9,63.47
92,8.71,10,83,7.2,13.3
98,8.2,1,77,8.6,10.89
56,8.22,78,87,6.7,63.1
97,8.44,12,84,6.7,14.29
89,8.3,2,72,7.1,14.66
58,8.03,3,86,5.8,32.67
30,8.04,90,89,5.1,93.96
76,6.25,40,61,6.3,43.35
63,7.03,46,75,6.3,56.13
99,7.85,4,88,7.9,12.26
86,9.16,14,75,8.2,14.29
82,8.58,9,73,8.6,16.59
69,6.11,22,70,4.8,41.91
58,5.43,108,86,8.3,87.08
89,8.77,14,85,6.2,15.54
71,6.39,32,77,6.9,40.77
65,6.57,12,65,6.2,39.46
29,5.85,27,80,7.5,88.95
35,8.62,73,66,7.9,77.49
85,9.47,9,74,8.2,11.78
7,4.66,62,81,4.2,100.0
82,9.56,11,83,8.0,11.99
55,5.51,119,67,7.7,92.31
72,7.15,11,67,4.7,31.62
65,5.69,29,71,5.0,49.04
89,7.51,10,72,7.7,19.93
12,5.15,115,70,5.8,100.0
90,7.53,11,85,6.9,18.9
30,8.32,113,76,7.8,91.03
14,7.06,57,62,8.7,100.0
69,6.28,13,78,5.3,37.27
90,8.95,2,80,8.8,9.37
4,7.67,4,78,6.2,90.48
76,6.42,47,84,5.5,42.16
97,8.41,5,87,6.3,12.16
91,8.75,8,78,6.2,14.1
60,6.77,13,60,4.5,47.85
97,9.17,12,83,6.5,11.81
47,4.62,58,70,6.3,95.2
79,7.42,12,83,6.9,24.35
81,8.93,5,71,8.8,14.19
67,5.69,31,79,4.1,47.26
76,6.71,25,73,6.0,35.21
44,9.38,55,75,5.9,55.19
88,9.99,3,74,8.7,6.54
67,7.38,39,73,5.0,41.37
54,6.48,16,69,8.7,53.09
10,8.45,70,71,4.8,100.0
77,6.04,19,79,5.3,35.36
64,7.02,49,67,5.3,57.81
39,5.54,63,67,5.1,99.54
9,5.78,48,63,7.4,100.0
36,5.35,3,77,5.7,71.95
81,9.57,10,83,8.4,11.62
37,8.4,109,83,7.1,82.81
22,4.91,118,69,8.1,100.0
55,6.32,21,72,5.7,57.57
71,7.05,24,69,4.9,36.5
66,6.63,41,68,6.8,46.66
20,6.95,79,68,6.5,100.0
78,6.82,44,75,5.2,39.33
3,6.58,95,89,8.5,100.0
96,7.94,2,82,7.7,12.65
63,7.44,17,84,6.2,40.06
37,8.77,52,89,8.3,62.94
61,7.31,41,65,6.9,54.42
65,6.25,44,69,5.1,50.87
48,8.15,92,64,4.9,78.29
68,6.01,30,79,4.7,44.57
12,7.62,41,77,4.3,100.0
16,5.26,96,60,5.8,100.0
57,5.69,90,72,8.7,87.45
74,7.32,48,64,5.4,41.54
95,9.04,5,87,7.5,9.1
92,9.42,12,83,8.5,9.99
20,8.31,111,82,7.2,100.0
14,9.05,73,71,6.5,94.83
51,5.89,56,79,8.6,77.15
91,7.56,1,85,6.7,15.54
32,8.37,56,67,5.4,77.89
0,7.55,41,89,4.3,100.0
76,5.92,38,80,5.7,42.29
85,8.41,5,74,8.2,15.17
67,7.05,44,78,5.0,44.1
50,5.97,103,78,7.2,92.83
65,6.86,47,61,5.9,49.43
79,6.98,35,76,4.8,35.13
99,9.2,0,78,7.0,7.96
78,6.12,44,73,4.2,42.88
60,5.68,49,60,6.8,70.84
15,6.76,37,71,4.8,100.0
55,7.48,87,82,8.8,72.51
61,5.88,33,81,6.0,59.75
87,8.94,2,74,6.3,12.83
96,7.52,11,78,8.0,17.34
61,7.21,29,71,6.7,49.52
54,5.04,117,84,7.6,95.03
100,8.57,0,89,6.4,9.36
80,7.79,12,84,8.8,20.44
14,6.67,20,83,4.6,96.79
76,5.59,32,63,5.7,44.09
34,7.33,22,62,6.1,71.43
79,5.52,20,64,4.3,38.8
36,5.09,108,65,5.1,100.0
47,8.42,103,87,7.1,72.96
91,7.76,9,82,7.7,16.8
53,6.62,93,68,4.2,86.6
94,7.86,14,89,6.1,17.61
67,7.48,10,60,4.4,33.38
69,7.15,26,81,5.4,36.39
7,5.29,16,76,6.8,100.0
37,6.83,77,72,8.2,93.66
46,5.2,14,81,7.8,68.02
