attendance,cgpa,fee_delay,assignments,engagement,risk_score,risk_category,risk_reason
48,2.84,71,35,1.7,74.34,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
96,8.88,7,92,8.9,7.23,Low,Consistent academic performance
54,3.19,50,21,2.4,65.96,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
14,3.05,71,7,3.1,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
59,5.76,33,68,6.6,45.25,Medium,Low attendance
24,0.48,65,9,1.8,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
69,5.59,43,50,4.7,43.33,Medium,Consistent academic performance
90,8.28,2,86,8.6,11.7,Low,Consistent academic performance
88,9.08,8,81,7.8,12.93,Low,Consistent academic performance
72,6.01,20,56,5.0,35.66,Medium,Consistent academic performance
3,3.62,71,31,1.1,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
82,9.11,3,82,8.2,15.04,Low,Consistent academic performance
60,5.89,13,62,5.6,41.94,Medium,Consistent academic performance
79,7.67,4,87,9.6,19.14,Low,Consistent academic performance
66,5.81,12,71,6.0,36.78,Medium,Consistent academic performance
1,1.81,64,33,1.8,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
66,5.22,14,62,5.9,39.65,Medium,Consistent academic performance
54,2.68,91,29,1.8,73.6,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
16,1.5,37,19,1.9,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
73,5.38,14,69,6.8,33.44,Medium,Consistent academic performance
74,6.56,27,57,6.3,33.45,Medium,Consistent academic performance
90,8.77,3,81,7.2,12.02,Low,Consistent academic performance
97,8.16,1,88,7.3,8.38,Low,Consistent academic performance
8,2.55,96,22,3.8,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
5,4.6,72,14,4.0,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
41,2.51,78,41,2.2,81.95,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
64,7.17,15,52,6.4,36.65,Medium,Consistent academic performance
83,8.31,2,81,7.5,16.68,Low,Consistent academic performance
88,9.94,9,81,7.4,11.39,Low,Consistent academic performance
35,3.03,94,45,3.6,87.02,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
51,2.51,70,5,0.6,76.2,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
62,6.2,13,74,4.7,38.95,Medium,Consistent academic performance
86,9.91,3,97,7.8,9.69,Low,Consistent academic performance
31,1.08,31,22,0.6,91.86,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
93,7.98,8,81,8.5,12.26,Low,Consistent academic performance
30,3.48,102,22,1.0,94.55,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
83,9.46,2,86,9.1,12.68,Low,Consistent academic performance
78,9.08,7,96,7.7,16.87,Low,Consistent academic performance
94,9.14,5,86,9.2,7.88,Low,Consistent academic performance
34,1.84,115,13,0.7,96.66,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
59,5.03,11,79,5.4,43.09,Medium,Low attendance
89,8.96,6,86,8.9,11.32,Low,Consistent academic performance
100,8.1,4,100,9.4,5.06,Low,Consistent academic performance
35,1.86,89,10,1.8,95.12,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
54,0.75,97,33,1.3,79.1,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
39,4.05,81,28,1.8,80.83,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
12,0.67,93,16,2.6,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
1,2.19,58,32,3.4,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
82,8.65,6,81,8.2,16.74,Low,Consistent academic performance
71,6.53,32,73,6.6,34.44,Medium,Consistent academic performance
86,8.78,4,87,7.1,13.8,Low,Consistent academic performance
85,9.15,2,82,7.0,13.72,Low,Consistent academic performance
20,1.94,60,45,4.0,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
18,3.31,57,42,1.6,100.0,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
62,5.66,41,65,6.9,44.88,Medium,Consistent academic performance
82,9.06,1,94,7.6,13.92,Low,Consistent academic performance
78,9.44,8,97,8.0,15.94,Low,Consistent academic performance
82,7.78,4,95,9.4,16.42,Low,Consistent academic performance
65,5.11,26,57,5.8,43.19,Medium,Consistent academic performance
82,8.58,9,97,9.8,14.98,Low,Consistent academic performance
95,9.19,2,93,7.0,7.1,Low,Consistent academic performance
31,1.58,68,48,1.0,93.51,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
67,5.55,17,63,6.2,38.35,Medium,Consistent academic performance
43,0.27,115,21,3.9,90.23,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
28,3.64,31,28,2.7,84.97,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
92,8.03,2,91,9.2,10.33,Low,Consistent academic performance
55,6.27,28,72,6.1,45.62,Medium,Low attendance
46,4.39,37,41,2.2,64.75,High,"Low attendance, Poor academic performance, Low assignment completion, Low class engagement"
43,3.63,94,3,0.4,83.24,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
64,6.64,34,59,6.2,40.62,Medium,Consistent academic performance
26,0.94,70,47,3.1,100.0,High,"Low attendance, Poor academic performance, High fee delay, Low assignment completion, Low class engagement"
