attendance,cgpa,fee_delay,participation,assignments,risk_score
91,5.86,90,8.0,11,46.21
32,8.11,42,9.4,66,33.66
64,9.61,73,2.1,28,38.04
7,3.85,73,0.2,33,72.55
6,1.18,116,3.5,74,82.01
20,9.68,35,1.8,72,42.49
23,8.07,48,7.3,35,49.88
23,8.67,95,8.6,54,49.3
12,7.4,98,1.0,16,66.67
88,3.2,58,1.0,99,48.81
11,9.59,18,0.9,70,41.46
51,5.73,110,0.8,68,58.28
98,6.02,51,6.7,99,28.77
75,6.88,57,6.2,6,40.16
45,7.01,41,4.0,26,42.66
36,2.33,7,3.7,64,48.8
85,8.13,70,9.9,3,36.93
18,7.77,53,7.1,73,42.79
89,3.3,66,2.5,91,44.55
71,1.18,104,7.4,2,64.71
76,2.38,120,3.7,24,61.55
5,8.02,44,9.7,60,47.85
46,8.91,117,9.2,100,45.46
56,5.23,104,2.2,14,57.18
30,9.96,53,5.8,15,44.45
73,9.5,71,3.9,23,36.45
27,3.36,91,6.5,7,71.72
91,3.6,99,9.9,62,36.94
16,2.8,116,8.1,91,66.79
34,8.23,81,4.2,68,46.76
46,9.19,9,9.3,4,29.93
64,4.8,110,1.5,84,52.93
25,3.81,85,8.3,48,61.11
98,1.34,20,0.6,5,46.51
91,8.13,94,7.5,2,42.4
36,7.57,82,2.5,77,50.54
72,1.29,50,2.7,3,57.48
31,0.47,94,1.1,25,74.13
33,4.76,2,5.2,11,44.41
22,7.55,84,6.4,74,59.24
50,9.03,63,0.1,37,48.58
78,4.37,62,7.3,37,45.22
96,7.84,29,6.2,50,23.16
9,9.27,73,7.7,83,49.09
87,0.46,5,4.9,76,36.1
74,0.76,120,4.6,79,56.94
94,4.0,15,6.4,3,34.44
66,5.15,31,1.7,50,38.88
18,8.22,81,2.8,60,54.8
4,4.61,89,8.9,48,64.63
77,3.3,26,0.4,46,39.35
93,1.57,47,0.6,25,47.77
35,8.06,112,6.0,51,53.01
85,2.36,27,3.7,87,31.34
1,7.47,13,1.5,6,57.0
17,4.47,98,4.0,63,67.94
88,7.37,27,0.2,56,22.64
12,5.94,67,3.6,17,63.67
99,5.37,33,5.6,39,24.76
40,3.37,51,6.5,97,47.13
58,3.56,108,3.3,32,61.51
93,1.87,61,8.1,23,36.92
54,8.42,2,5.2,39,28.37
74,8.66,5,9.8,93,15.72
50,8.21,65,5.6,7,48.8
4,1.87,117,7.1,83,76.14
96,7.36,11,1.1,89,17.13
10,9.32,76,5.3,32,54.64
5,3.37,9,5.5,9,57.54
100,0.03,8,6.0,23,39.51
37,4.12,93,1.1,68,63.19
8,2.05,98,0.7,39,78.34
63,5.74,63,7.8,10,43.22
29,8.25,36,8.1,77,38.36
25,9.08,88,8.8,88,43.0
13,9.0,37,5.4,62,48.97
14,5.77,16,9.0,65,46.5
50,5.43,69,9.4,6,50.36
50,3.35,63,1.7,28,62.77
26,7.89,37,7.5,100,36.65
26,7.44,67,5.7,9,59.25
37,5.36,46,8.5,87,42.01
51,3.97,28,5.4,28,48.3
1,0.12,114,6.9,35,83.26
25,2.52,68,8.3,73,55.24
22,4.62,45,6.1,89,47.83
12,1.39,81,6.1,59,68.52
67,7.9,36,7.1,91,26.04
30,6.07,117,0.8,77,60.46
20,1.66,35,1.2,56,62.47
0,8.7,54,2.3,14,56.66
8,2.06,56,0.0,40,71.75
34,3.98,24,8.6,37,43.13
33,9.18,42,0.3,50,38.94
53,1.76,70,1.7,87,59.34
21,2.2,113,6.6,70,69.26
80,9.61,48,5.6,85,29.1
12,3.97,50,2.1,82,59.38
61,2.05,28,6.2,92,48.53
17,2.94,114,4.5,65,69.65
91,4.81,93,5.6,62,40.48
54,9.46,31,2.7,82,26.48
33,4.09,86,9.8,31,61.93
64,5.52,66,2.3,58,48.99
71,1.04,110,5.7,50,57.66
33,8.05,87,7.2,45,52.11
15,3.97,36,1.4,13,64.7
6,6.33,32,2.1,18,56.97
18,5.83,59,7.0,0,57.51
1,3.63,118,2.7,4,87.45
36,4.09,93,3.6,52,62.81
85,7.8,80,8.7,58,30.88
86,8.0,80,4.8,80,32.02
24,2.58,117,6.5,3,71.94
25,5.26,108,6.9,36,65.26
37,0.67,36,6.5,75,51.61
86,1.07,85,1.4,56,57.11
97,6.01,120,4.9,9,45.05
44,8.38,84,3.8,45,46.76
35,7.71,28,3.9,39,42.1
10,3.56,112,7.2,98,67.42
23,9.37,68,4.8,35,50.34
19,1.62,115,0.5,61,77.83
72,0.75,16,4.1,60,50.05
42,5.98,24,2.5,2,46.75
58,9.17,60,7.9,56,30.67
54,5.21,11,5.4,87,34.8
80,6.59,117,6.4,71,47.38
24,9.03,11,2.2,25,41.21
31,7.06,70,10.0,25,48.4
84,4.73,6,0.3,6,37.19
58,9.44,81,7.5,38,37.64
98,3.19,105,6.4,13,45.81
59,4.81,2,7.0,39,35.53
89,7.25,107,5.7,3,42.55
81,5.2,108,6.2,65,48.78
54,4.62,33,0.2,12,52.14
98,0.7,45,3.5,61,41.77
92,0.38,107,6.3,55,53.09
29,4.18,102,5.2,64,58.89
93,0.03,44,3.5,29,49.16
36,0.42,64,9.1,78,61.06
72,1.09,120,6.8,11,67.66
38,8.79,45,6.0,61,32.93
76,9.89,70,9.9,58,29.16
53,6.08,108,1.2,97,51.41
56,2.2,112,9.6,5,66.45
86,8.84,98,6.0,60,37.28
34,7.58,61,10.0,2,46.19
88,5.93,13,8.6,10,28.32
55,2.66,91,4.8,66,58.98
4,7.35,97,4.1,78,64.7
37,2.6,4,0.5,17,52.07
80,0.62,44,4.8,92,43.62
57,5.71,39,6.8,90,36.05
87,7.97,39,2.5,58,28.51
58,1.6,12,8.4,88,35.62
4,8.81,57,4.7,30,55.93
22,0.05,31,3.4,29,71.23
11,0.06,95,0.8,26,85.88
16,1.16,97,6.3,87,70.11
82,7.61,73,4.3,97,31.12
62,3.92,78,9.3,92,41.86
99,0.68,90,1.7,11,58.2
21,7.09,117,3.5,89,66.41
51,7.58,6,0.7,32,33.51
5,3.72,31,7.7,57,58.46
98,4.51,38,5.3,28,32.51
28,2.98,31,0.8,77,53.1
66,9.51,107,0.3,92,39.84
20,9.1,100,6.4,5,57.42
0,3.21,37,2.3,60,68.8
34,0.31,24,7.1,17,59.05
71,1.59,88,8.7,52,56.45
7,7.71,45,5.3,70,46.32
52,9.12,2,1.9,14,32.64
24,0.01,70,1.3,83,65.93
59,0.64,117,3.3,1,73.08
87,4.33,63,4.6,71,43.51
81,4.8,94,7.2,10,47.44
44,7.57,101,9.1,10,49.85
16,1.03,45,1.4,79,65.03
53,6.18,19,3.5,39,35.8
76,0.83,76,0.8,21,60.24
65,9.77,89,6.9,14,38.32
48,9.52,60,7.1,5,39.14
8,9.36,102,6.1,40,60.62
49,6.25,83,3.4,6,56.81
74,8.95,3,6.0,21,28.15
40,1.64,13,0.8,11,55.23
86,6.5,24,8.7,18,28.49
54,0.44,43,5.6,17,56.18
82,2.28,95,5.4,58,47.97
34,2.21,53,0.3,96,59.24
6,4.63,93,9.6,57,63.38
3,7.35,19,5.0,49,53.1
48,5.14,104,4.4,97,56.29
33,7.93,38,2.8,57,42.46
11,3.84,17,6.3,14,59.12
99,9.09,86,6.3,13,29.1
77,5.13,36,8.5,40,35.03
13,5.15,88,6.6,69,60.36
16,3.91,120,4.0,34,71.64
39,5.99,35,9.7,46,44.43
30,2.36,66,4.4,79,53.31
93,1.46,4,2.5,42,36.44
75,7.07,63,3.6,27,38.56
43,4.46,110,8.7,60,64.16
19,2.7,1,1.2,36,55.36
58,3.16,112,5.8,11,61.05
19,9.87,87,6.9,97,40.02
42,4.89,43,5.3,22,51.61
44,1.44,49,2.0,7,61.43
4,9.63,46,6.9,54,51.59
89,3.74,29,5.0,16,37.45
75,1.13,88,6.9,32,56.9
0,2.16,79,8.3,47,69.66
91,1.59,63,0.5,72,47.14
32,4.07,47,7.5,76,47.09
97,4.04,109,9.3,18,45.34
69,9.01,12,8.0,82,16.52
53,6.49,84,3.2,75,50.12
70,5.63,18,3.9,88,32.49
34,2.27,89,5.9,71,69.64
77,6.19,45,5.0,84,30.95
69,9.14,92,3.4,11,47.08
4,3.99,36,2.5,99,60.9
69,7.47,107,9.6,20,47.02
22,4.31,79,6.5,14,64.96
14,1.97,12,3.5,33,59.66
77,4.86,111,5.2,26,53.12
7,3.11,35,7.2,1,66.43
48,9.77,89,1.2,74,41.55
62,1.07,41,1.9,55,54.04
35,4.25,117,8.1,0,70.13
46,9.51,118,6.4,20,44.89
85,5.94,25,2.1,9,33.29
41,9.0,79,5.6,90,37.06
36,3.02,23,8.2,59,49.79
18,6.24,96,4.2,68,62.46
46,2.35,107,8.6,20,69.45
31,6.38,72,3.9,56,58.0
24,9.88,34,6.0,17,36.89
38,7.25,74,9.9,59,38.71
45,1.04,89,3.4,31,67.41
100,8.94,2,4.0,96,7.34
69,3.55,67,4.4,59,47.83
71,6.51,117,2.3,57,46.23
2,1.9,1,9.9,1,53.97
21,5.62,35,9.6,92,40.86
30,7.55,54,5.4,61,49.02
11,3.48,11,9.8,2,54.25
15,3.83,22,4.0,4,62.02
64,8.42,20,0.9,21,35.77
81,7.88,31,1.3,15,28.51
13,1.18,22,2.6,65,61.67
84,3.46,120,5.5,74,49.47
25,6.01,54,1.6,21,59.91
42,5.75,59,8.5,11,48.53
87,5.32,77,8.1,79,38.02
6,3.05,72,3.2,34,73.28
81,9.57,81,6.4,24,30.58
65,1.33,53,3.1,94,55.94
53,8.29,51,5.0,40,37.42
5,1.46,116,1.2,20,87.82
31,1.22,91,3.1,77,69.91
19,4.4,59,8.5,31,59.75
59,3.65,30,0.6,82,39.18
33,4.6,1,4.8,49,43.25
72,4.3,8,1.4,72,32.49
27,3.03,114,1.8,15,76.82
39,8.14,102,2.2,92,47.81
51,6.56,37,4.3,62,37.48
98,3.68,91,4.8,70,45.48
100,3.87,4,0.1,1,32.75
78,5.82,86,1.4,38,43.76
4,2.15,84,8.3,84,67.73
59,6.46,20,8.4,54,29.64
25,1.27,33,3.2,81,51.02
51,8.6,41,7.9,12,35.44
63,7.87,8,9.4,1,23.58
9,9.3,59,7.8,27,48.58
74,4.95,7,9.0,71,26.57
86,5.18,82,1.1,43,44.25
64,4.43,7,0.4,86,33.63
23,1.05,16,9.6,20,57.53
57,4.62,99,3.5,14,56.4
4,6.6,95,0.7,9,67.04
37,0.83,111,9.7,94,62.8
72,3.82,49,0.1,35,49.7
67,7.75,40,9.6,61,26.8
35,2.93,103,1.1,12,75.31
52,9.2,15,8.1,97,20.03
39,5.99,72,3.7,58,49.13
77,4.39,88,1.6,29,52.56
50,8.87,119,9.9,31,50.14
93,8.61,112,2.6,46,41.44
20,9.78,45,7.3,6,42.53
22,6.56,74,3.2,21,61.0
26,9.65,78,5.1,87,41.7
43,7.33,42,7.6,96,28.68
18,1.52,29,8.7,24,60.41
100,1.6,105,5.6,71,50.69
64,2.78,98,4.0,97,50.47
88,5.55,45,6.2,26,31.01
8,5.54,85,8.5,57,65.64
53,8.33,77,2.0,33,48.7
15,1.49,118,4.7,82,79.52
100,1.25,110,4.5,19,54.07
25,3.92,84,0.0,20,72.02
73,6.2,3,1.8,44,30.49
3,5.1,2,0.6,79,48.39
57,5.61,3,0.5,23,42.37
30,0.23,18,5.0,82,56.35
21,6.95,75,7.8,30,55.22
44,1.47,54,7.4,96,55.19
17,3.71,112,6.0,46,68.35
3,4.96,46,1.2,69,66.16
46,8.4,74,7.4,89,34.29
60,9.8,2,0.3,93,21.92
69,5.18,108,7.8,18,51.4
68,8.42,36,4.8,20,27.87
73,9.37,99,1.3,3,46.0
99,7.66,53,2.3,59,27.06
56,7.51,23,4.7,84,26.67
34,2.76,13,2.5,79,45.55
15,7.59,105,8.4,69,56.76
55,0.47,81,9.1,56,56.36
20,5.32,32,7.7,69,47.67
14,8.82,20,0.5,13,48.84
56,4.94,20,2.6,2,42.69
48,4.64,88,9.5,11,57.71
60,1.14,49,7.2,70,50.46
23,1.15,97,4.0,42,80.67
40,7.92,48,5.4,69,41.0
73,1.66,1,6.6,56,34.79
65,0.98,15,4.1,38,44.54
39,1.12,58,4.6,63,60.07
62,4.97,31,2.6,19,48.57
85,0.18,103,8.8,85,52.87
91,2.55,104,5.6,27,52.54
71,2.82,41,5.0,5,45.89
38,6.57,88,4.0,42,55.41
23,3.57,40,5.8,84,47.61
71,7.98,46,2.0,81,32.3
11,1.66,79,8.6,2,71.66
26,2.77,39,5.1,91,51.01
100,7.33,47,1.5,3,30.6
93,6.15,117,8.6,8,45.45
15,9.88,108,9.8,20,59.79
29,6.35,3,10.0,94,29.04
68,5.6,96,0.3,19,56.27
33,2.1,4,9.7,91,42.59
49,1.11,59,3.1,10,64.41
65,8.22,107,3.1,87,46.72
91,5.25,111,7.1,89,39.98
61,7.19,34,1.4,40,35.62
74,6.51,47,5.8,16,39.3
68,8.06,93,9.8,34,38.85
27,6.82,69,8.6,0,52.67
71,0.73,62,3.4,57,47.72
62,0.69,56,3.0,45,57.0
13,9.04,16,7.7,98,36.2
90,5.6,90,3.9,45,43.11
37,2.27,116,5.5,34,75.32
83,0.18,39,7.4,25,45.77
86,1.27,120,2.9,50,61.97
27,0.18,70,6.2,72,68.75
18,8.73,13,2.2,52,38.29
29,0.46,32,4.7,88,57.0
13,5.98,98,2.3,77,66.68
40,9.89,54,5.3,61,41.63
47,0.35,34,2.7,49,62.98
47,8.31,66,4.9,72,42.53
60,0.33,34,8.3,87,44.0
53,4.35,46,1.4,18,52.8
25,1.65,21,6.1,50,59.8
50,2.37,70,1.3,3,63.49
21,7.87,66,6.5,65,47.73
0,2.69,37,0.7,24,65.0
81,3.62,11,6.0,26,32.96
64,4.5,108,4.8,39,54.07
13,6.11,108,4.7,48,65.99
45,0.49,7,0.4,96,49.3
89,4.63,116,5.7,61,45.52
8,8.17,48,6.2,87,45.58
20,3.45,38,5.7,38,63.1
18,4.51,45,1.7,39,59.47
18,4.11,71,6.7,11,61.31
89,9.55,68,0.0,90,29.61
45,0.51,108,8.3,48,73.14
65,6.65,32,4.6,81,33.92
100,1.21,27,5.5,96,26.13
40,9.42,62,6.5,73,34.49
65,8.88,76,0.1,81,36.92
69,1.21,1,5.3,2,43.85
15,9.91,1,0.1,11,41.86
44,3.99,100,1.2,48,57.98
94,4.67,23,6.5,27,32.79
35,6.73,118,5.4,29,60.82
59,2.26,31,8.2,27,50.99
22,3.19,47,0.1,56,63.02
99,3.93,23,3.7,55,30.65
36,8.9,64,9.5,18,40.24
28,5.17,17,6.4,42,49.4
10,3.11,37,8.5,7,60.56
33,8.42,55,9.9,64,38.81
44,3.84,26,2.1,63,48.28
90,1.6,49,3.1,14,44.29
36,9.56,100,4.7,5,53.67
67,9.95,72,9.8,76,23.75
16,3.86,111,7.7,68,68.66
36,4.78,12,5.4,85,41.57
2,3.02,31,7.1,84,55.35
45,6.77,20,9.7,67,34.98
23,10.0,12,6.3,10,31.8
99,4.02,16,7.3,81,25.68
18,2.01,84,1.5,4,83.23
16,7.11,117,2.3,63,70.29
53,5.33,11,0.4,10,48.86
91,0.58,55,2.8,45,48.21
51,8.64,54,3.8,74,38.11
32,5.63,22,3.9,74,42.23
80,8.66,77,4.6,91,31.72
50,6.02,110,5.7,34,56.18
44,4.39,112,3.0,71,60.92
18,3.12,66,4.5,12,70.58
21,6.88,42,8.7,9,52.34
41,6.33,20,3.6,65,42.82
29,9.57,46,9.9,7,38.35
25,8.28,70,0.0,66,53.88
0,0.69,12,7.5,4,68.7
59,6.59,0,8.5,65,24.78
33,0.78,3,4.1,74,48.16
98,5.49,13,8.1,44,19.35
33,7.95,15,4.8,65,36.63
65,7.1,55,3.0,33,43.32
77,1.52,54,9.1,92,38.49
52,8.42,16,6.4,52,33.49
30,8.89,22,8.7,73,30.41
9,8.21,53,0.7,31,48.68
52,8.04,21,5.6,3,41.9
76,9.17,7,2.7,30,21.07
97,7.22,104,7.5,78,31.5
56,0.0,92,0.5,95,66.88
87,8.39,40,3.4,43,27.2
63,3.16,10,8.3,18,42.88
67,7.89,14,9.4,82,20.79
48,3.77,55,9.6,36,51.09
88,7.04,9,1.4,84,21.18
20,8.76,100,9.7,10,56.59
93,2.69,83,7.8,11,48.12
36,0.48,100,5.0,27,73.83
17,6.34,98,3.7,70,64.71
12,4.17,12,4.2,1,59.49
74,7.3,85,2.2,86,35.38
44,0.36,8,1.4,6,59.47
69,6.45,20,6.8,53,27.51
53,5.79,20,2.9,98,37.16
53,5.16,43,1.0,73,45.8
45,2.42,101,3.4,85,62.63
34,4.93,110,3.3,11,68.65
53,2.67,28,4.6,99,41.85
64,3.12,27,2.7,80,39.41
91,9.76,26,5.8,41,19.57
33,1.82,6,0.2,24,58.48
32,7.39,6,3.5,11,42.39
50,0.24,74,8.3,86,57.03
88,2.91,44,4.0,3,45.22
28,2.47,27,4.7,86,52.9
43,0.58,89,9.9,4,74.5
74,9.63,27,7.8,16,25.47
58,7.26,70,1.4,25,46.02
82,1.47,52,5.3,67,46.54
94,6.74,106,8.1,46,37.27
59,5.39,30,7.1,25,40.9
4,4.97,104,4.5,53,65.93
97,2.42,60,9.5,45,35.57
68,6.21,61,8.1,81,30.68
94,0.44,93,8.6,7,55.22
43,8.98,107,8.4,74,46.19
27,6.59,40,2.0,98,45.74
47,4.07,58,9.8,75,43.7
18,1.76,101,6.2,25,70.9
5,1.9,114,7.3,97,71.37
79,9.77,118,3.9,7,49.1
93,7.18,110,2.3,42,39.86
87,7.64,92,5.0,8,42.57
36,0.09,100,3.8,27,77.81
87,8.08,103,8.5,71,29.52
47,0.95,100,2.5,92,71.25
9,9.01,53,4.0,26,51.53
33,9.93,31,5.1,70,29.12
93,9.18,112,4.4,89,27.04
77,6.22,44,2.5,83,26.95
64,2.4,57,8.8,19,55.03
86,5.06,74,7.5,4,41.6
92,4.31,10,5.6,20,31.98
98,3.26,114,2.8,59,52.39
25,8.93,20,7.6,22,38.32
83,4.98,115,2.0,7,54.3
45,2.07,120,3.6,14,70.65
98,5.07,66,1.0,26,38.84
97,7.74,23,6.5,66,20.05
33,8.76,86,0.5,22,54.82
52,7.66,56,5.9,59,40.62
53,3.62,56,9.7,6,53.86
85,7.29,91,3.1,35,40.66
40,8.48,86,6.1,29,52.61
26,2.71,56,3.7,46,58.81
99,9.85,119,7.6,53,36.19
58,4.14,41,7.1,58,44.76
33,7.81,8,2.7,95,28.38
24,1.3,100,1.0,64,77.28
62,5.09,35,9.7,87,31.14
38,4.62,0,1.2,38,43.72
56,2.74,40,2.0,12,56.08
2,1.19,48,7.3,46,65.11
54,5.49,80,3.8,14,47.02
67,3.84,82,7.8,34,50.38
77,7.04,13,8.4,3,27.96
5,5.46,48,5.4,64,65.27
68,7.18,5,1.2,63,29.21
88,1.57,67,6.3,1,49.84
21,6.73,100,0.7,77,64.48
15,9.82,50,0.1,79,51.28
71,0.52,112,0.2,52,63.86
16,9.35,4,7.3,77,27.89
68,0.68,58,3.6,49,59.84
68,0.72,93,3.7,67,57.45
32,6.42,53,7.3,86,42.3
53,6.01,19,2.8,81,31.2
62,4.32,56,0.1,61,44.14
5,5.48,27,4.0,68,53.13
81,7.05,40,2.0,48,27.79
9,5.17,34,2.7,23,57.4
73,6.9,25,6.0,38,29.7
19,5.99,83,0.9,65,59.08
29,6.42,21,9.7,78,31.91
95,6.1,104,5.3,58,46.18
1,8.66,64,1.2,88,55.3
21,6.25,29,6.8,27,49.6
64,0.15,67,9.4,8,60.19
35,7.26,45,1.9,31,48.14
5,9.77,16,5.0,26,40.83
84,9.15,27,8.6,3,22.65
92,5.13,26,0.1,91,32.8
41,7.01,108,0.9,22,65.27
95,9.12,62,3.6,68,21.18
61,6.07,74,5.9,93,34.47
47,3.33,81,8.1,18,52.92
45,3.97,101,7.4,90,54.56
7,0.68,105,4.3,5,84.19
59,3.68,53,8.6,81,44.87
55,7.87,1,6.3,59,25.89
36,7.84,17,8.2,21,41.07
10,5.99,76,3.0,6,66.83
67,2.1,0,7.6,77,31.68
37,6.55,0,9.2,84,31.35
70,7.21,46,6.9,34,30.98
67,2.89,67,9.2,26,57.92
20,7.43,51,8.7,54,49.93
45,9.14,95,7.9,48,46.55
96,3.19,60,3.9,34,41.43
38,1.94,117,7.9,86,65.65
66,4.15,85,3.0,36,53.97
86,1.79,45,3.8,22,50.96
84,7.19,5,7.9,93,13.7
21,5.41,29,0.2,31,54.38
9,6.35,114,2.2,72,69.15
27,3.11,38,0.6,18,65.57
23,6.16,8,4.2,61,40.18
96,5.41,73,4.1,64,33.45
12,8.71,33,0.2,76,42.79
47,6.06,63,9.3,38,46.38
70,1.14,25,9.0,6,43.88
57,5.08,52,7.8,61,49.01
31,7.15,15,0.1,27,42.21
72,5.36,64,4.7,85,38.12
50,2.86,70,4.5,82,56.45
18,8.55,44,4.8,10,49.37
17,9.02,47,2.1,7,49.88
21,4.79,110,5.4,35,69.14
48,0.74,65,5.1,78,61.17
19,9.97,105,3.2,82,52.73
39,0.69,61,3.7,59,61.75
74,6.57,106,9.3,29,47.15
48,3.73,30,8.0,60,39.36
78,0.49,35,7.7,57,45.51
38,6.77,115,1.4,100,58.49
82,6.2,28,3.9,91,26.43
28,1.59,15,7.6,2,56.87
20,6.54,35,8.5,85,39.9
60,7.16,53,3.9,58,41.66
56,2.42,58,8.6,93,45.55
78,5.58,89,7.0,11,49.31
89,4.51,61,8.0,61,31.35
37,7.48,60,3.2,44,50.57
95,1.91,109,2.2,99,51.32
95,7.61,69,7.9,100,24.44
83,3.68,27,2.2,36,37.55
4,6.3,45,6.7,5,60.5
88,8.98,58,5.1,28,34.32
17,8.45,74,8.1,37,49.13
47,8.27,11,3.3,30,36.26
66,9.98,34,5.7,15,31.9
12,1.3,115,8.9,20,80.98
47,3.12,85,0.1,77,64.12
23,6.24,95,3.1,54,62.44
98,9.38,68,8.6,9,29.17
82,5.81,60,6.4,18,44.08
42,5.79,47,6.0,23,46.55
10,9.29,54,6.2,62,48.1
24,5.04,31,4.5,17,56.48
26,6.78,81,1.1,74,55.73
40,6.44,88,6.5,73,45.99
21,1.56,63,8.1,64,64.11
85,5.8,80,8.4,13,38.26
49,0.19,111,0.2,58,76.11
19,9.61,2,6.4,89,30.97
93,8.82,65,5.7,65,25.23
71,0.95,42,0.5,7,58.45
28,4.23,29,9.2,83,40.73
44,9.76,55,2.0,52,41.07
86,2.87,72,10.0,83,40.19
94,9.73,7,9.4,93,1.96
19,3.48,52,9.8,48,58.54
28,0.85,10,7.9,70,52.0
57,2.29,19,0.6,87,39.22
10,3.26,7,2.2,55,54.21
59,8.27,27,3.6,12,34.49
63,0.76,87,1.5,86,60.37
21,4.85,118,7.1,45,66.77
9,5.06,109,3.1,43,73.23
59,4.88,16,4.4,94,35.85
52,4.19,8,1.9,88,36.15
47,5.47,75,7.8,14,53.0
31,8.9,19,0.2,84,33.08
81,4.71,72,4.9,43,46.12
98,8.0,15,3.3,67,20.8
58,7.62,61,9.0,80,33.63
76,5.79,89,8.7,53,45.23
3,9.7,71,3.7,31,53.67
91,1.65,66,2.2,97,41.72
79,2.86,37,9.7,71,38.41
31,7.98,2,8.9,75,27.79
48,7.29,92,8.0,61,46.58
83,2.5,21,7.5,44,30.52
41,7.93,19,3.8,80,32.9
14,2.0,23,4.9,90,51.67
22,2.91,7,9.2,58,49.55
1,7.6,16,7.0,12,52.95
95,3.76,109,8.3,12,52.37
54,6.47,82,6.2,72,46.93
51,5.1,94,1.2,51,59.42
8,8.39,0,8.0,74,34.36
97,2.16,31,0.5,96,34.62
7,2.81,61,7.0,41,66.48
61,0.56,102,1.3,16,71.46
84,5.66,22,9.3,85,17.79
49,3.18,108,8.3,53,59.18
10,2.93,20,9.6,62,51.37
82,6.37,16,6.5,55,27.41
36,8.85,67,3.5,48,44.18
42,3.4,12,0.1,31,44.44
59,9.9,57,2.8,55,35.59
27,2.61,81,9.9,96,58.97
26,0.92,15,7.1,30,56.5
87,3.41,108,4.5,33,48.86
82,9.04,4,1.1,26,25.24
79,7.84,34,2.1,52,31.74
86,8.85,83,7.6,3,32.27
86,2.99,111,2.7,88,51.04
20,4.3,48,8.2,84,51.03
61,4.86,115,2.9,14,63.8
87,1.17,4,3.6,46,41.09
86,6.59,17,1.1,98,28.73
66,4.11,9,3.3,71,37.08
74,8.01,4,1.0,52,22.04
92,2.26,58,5.9,64,39.73
59,6.17,10,5.3,75,30.78
71,2.96,60,2.5,91,45.96
93,2.6,94,7.8,55,44.26
51,0.27,0,4.6,39,48.74
100,6.14,64,1.4,53,34.42
21,4.77,108,7.9,61,65.18
46,0.52,117,2.1,16,76.3
44,8.41,109,1.8,71,54.75
60,5.76,26,7.8,30,37.68
5,6.79,57,6.8,88,50.96
33,0.33,4,3.1,5,61.11
17,3.32,120,7.1,12,73.63
6,4.18,118,5.1,62,74.36
80,6.48,19,5.5,31,30.34
47,0.47,23,6.1,16,60.44
69,6.76,13,2.8,78,26.53
67,5.56,79,8.3,61,40.66
95,8.79,30,1.0,7,24.96
23,9.69,30,9.6,44,29.01
56,2.86,29,7.5,17,45.04
68,7.81,38,7.3,42,31.41
93,5.4,109,1.1,92,45.13
22,5.0,105,8.4,39,59.03
73,5.73,111,8.8,62,46.76
